FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
15/1/2025;9;AV. LUGONES;DESCENDENTE;9500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
15/1/2025;13;AU FRONDIZI;ASCENDENTE;500;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0
15/1/2025;17;AU 25 DE MAYO;DESCENDENTE;8300;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
16/1/2025;6;AV. LUGONES;DESCENDENTE;7000;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
16/1/2025;14;AU DELLEPIANE;ASCENDENTE;4600;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
17/1/2025;6;PTE. SCALABRINI ORTIZ;-;-;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
17/1/2025;8;AU PERITO MORENO;ASCENDENTE;400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;2
17/1/2025;16;PASEO DEL BAJO;DESCENDENTE;7000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
18/1/2025;11;AU 25 DE MAYO;DESCENDENTE;8300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
19/1/2025;0;AU DELLEPIANE;DESCENDENTE;3400;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
19/1/2025;13;AU DELLEPIANE;ASCENDENTE;600;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
20/1/2025;1;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
20/1/2025;2;AV. CANTILO;ASCENDENTE;7900;BUENO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
21/1/2025;17;AU ILLIA;ASCENDENTE;6600;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
22/1/2025;6;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;1;0;0
22/1/2025;17;AV. CANTILO;ASCENDENTE;8500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
22/1/2025;22;AU 25 DE MAYO;ASCENDENTE;4300;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
23/1/2025;8;DIST. UDAONDO;-;-;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
23/1/2025;15;AU FRONDIZI;ASCENDENTE;2200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
24/1/2025;11;AU DELLEPIANE;ASCENDENTE;2800;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
24/1/2025;22;PASEO DEL BAJO;DESCENDENTE;3250;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
26/1/2025;7;AV. LUGONES;DESCENDENTE;10200;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
26/1/2025;13;AU PERITO MORENO;DESCENDENTE;3700;BUENO;SECA;0;0;OTRO;0;1;0;0
27/1/2025;9;PASEO DEL BAJO;ASCENDENTE;4000;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
28/1/2025;0;DIST. 9 DE JULIO;RAMAL 6;-;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
28/1/2025;1;AU FRONDIZI;DESCENDENTE;1000;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
28/1/2025;16;AU 25 DE MAYO;DESCENDENTE;800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
30/1/2025;14;AU PERITO MORENO;DESCENDENTE;600;BUENO;SECA;11;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;1
30/1/2025;16;AU 25 DE MAYO;DESCENDENTE;100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
30/1/2025;17;AU PERITO MORENO;DESCENDENTE;900;BUENO;SECA;2;0;COLISION CON OBSTACULO FIJO;1;0;0;0
31/1/2025;7;AU DELLEPIANE;ASCENDENTE;200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
31/1/2025;10;AU DELLEPIANE;ASCENDENTE;2900;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
31/1/2025;16;AU PERITO MORENO;DESCENDENTE;5400;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
31/1/2025;19;AU 25 DE MAYO;DESCENDENTE;6300;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
1/2/2025;10;AV. LUGONES;DESCENDENTE;10300;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
1/2/2025;18;AU 25 DE MAYO;ASCENDENTE;3600;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
1/2/2025;21;AU DELLEPIANE;ASCENDENTE;3800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
2/2/2025;11;AU CAMPORA;ASCENDENTE;1700;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
2/2/2025;15;DIST. DELLEPIANE;RAMAL 14;-;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
3/2/2025;6;AU 25 DE MAYO;ASCENDENTE;4100;BUENO;SECA;0;0;OBSTACULO NO FIJO;1;0;0;1
3/2/2025;8;AU FRONDIZI;DESCENDENTE;2900;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
3/2/2025;16;AU 25 DE MAYO;DESCENDENTE;2800;BUENO;SECA;0;1;OBSTACULO NO FIJO;1;1;0;0
4/2/2025;14;AU DELLEPIANE;DESCENDENTE;2600;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;2;0;0;0
5/2/2025;14;PASEO DEL BAJO;DIST. SUR - RAMAL 1;-;LLUVIOSO;MOJADA/HUMEDA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
6/2/2025;5;AU CAMPORA;ASCENDENTE;2200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
6/2/2025;6;AU DELLEPIANE;DESCENDENTE;2500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
6/2/2025;9;AU CAMPORA;ASCENDENTE;2700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
6/2/2025;12;AU 25 DE MAYO;ASCENDENTE;5900;BUENO;SECA;6;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
6/2/2025;12;AU DELLEPIANE;DESCENDENTE;1800;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
6/2/2025;15;AU 25 DE MAYO;DESCENDENTE;5000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;6;0;0
6/2/2025;18;AU DELLEPIANE;DESCENDENTE;500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
6/2/2025;23;AU DELLEPIANE;DESCENDENTE;4500;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;1;0
7/2/2025;6;AU PERITO MORENO;DESCENDENTE;100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
8/2/2025;10;TRANSICION RAMAL 2;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
8/2/2025;21;AU 25 DE MAYO;ASCENDENTE;1000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
9/2/2025;6;AU DELLEPIANE;ASCENDENTE;1000;LLUVIOSO;INUNDADA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
9/2/2025;14;AV. LUGONES;DESCENDENTE;9300;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
9/2/2025;20;AV. LUGONES;DESCENDENTE;4400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
10/2/2025;8;AV. LUGONES;DESCENDENTE;7800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
10/2/2025;16;AV. LUGONES;DESCENDENTE;8000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
11/2/2025;9;AU 25 DE MAYO;DESCENDENTE;2000;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
11/2/2025;10;AU 25 DE MAYO;ASCENDENTE;9000;LLUVIOSO;MOJADA/HUMEDA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
12/2/2025;6;AU ILLIA;ASCENDENTE;3100;BUENO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;1
12/2/2025;23;AU PERITO MORENO;DESCENDENTE;1700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
13/2/2025;2;AU 25 DE MAYO;DESCENDENTE;5000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
13/2/2025;17;AU 25 DE MAYO;DESCENDENTE;6200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
14/2/2025;10;PASEO DEL BAJO;ASCENDENTE;2000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;2
14/2/2025;11;AU 25 DE MAYO;ASCENDENTE;2600;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0
14/2/2025;14;AV. LUGONES;DESCENDENTE;5800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
14/2/2025;16;AU 25 DE MAYO;DESCENDENTE;6300;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
15/2/2025;2;AU 25 DE MAYO;DESCENDENTE;1200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
15/2/2025;7;PASEO DEL BAJO;DESCENDENTE;3000;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
15/2/2025;21;AU 25 DE MAYO;DESCENDENTE;7700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
18/2/2025;8;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;1
18/2/2025;9;AV. LUGONES;DESCENDENTE;10000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
18/2/2025;11;AU 25 DE MAYO;ASCENDENTE;3600;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
19/2/2025;11;AU 25 DE MAYO;ASCENDENTE;200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
19/2/2025;15;AU 25 DE MAYO;DESCENDENTE;2300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
20/2/2025;2;AU ILLIA;ASCENDENTE;2400;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
20/2/2025;7;AV. LUGONES;DESCENDENTE;10100;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
20/2/2025;9;AU 25 DE MAYO;ASCENDENTE;700;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
20/2/2025;12;AV. CANTILO;ASCENDENTE;10000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
20/2/2025;22;AU 25 DE MAYO;ASCENDENTE;3500;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
21/2/2025;8;AV. LUGONES;DESCENDENTE;4900;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
21/2/2025;10;PASEO DEL BAJO;ASCENDENTE;4500;BUENO;SECA;2;0;COLISION CON OBSTACULO FIJO;0;0;1;0
21/2/2025;13;AU FRONDIZI;ASCENDENTE;500;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0
21/2/2025;15;AV. CANTILO;ASCENDENTE;10000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
21/2/2025;20;AU FRONDIZI;DESCENDENTE;1200;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
21/2/2025;22;AU 25 DE MAYO;ASCENDENTE;8200;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
22/2/2025;1;AU 25 DE MAYO;DESCENDENTE;1000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
22/2/2025;18;AU FRONDIZI;DESCENDENTE;1900;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
23/2/2025;2;AU FRONDIZI;DESCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
23/2/2025;9;AU DELLEPIANE;DESCENDENTE;4700;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
25/2/2025;10;AU 25 DE MAYO;ASCENDENTE;6900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
25/2/2025;14;AU FRONDIZI;DESCENDENTE;1700;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
25/2/2025;15;AU 25 DE MAYO;DESCENDENTE;6500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;1
26/2/2025;8;AU DELLEPIANE;ASCENDENTE;3200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
26/2/2025;9;AU PERITO MORENO;DESCENDENTE;5400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
26/2/2025;12;PASEO DEL BAJO;ASCENDENTE;4400;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;3
26/2/2025;13;AU DELLEPIANE;DESCENDENTE;2700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
27/2/2025;16;AU ILLIA;ASCENDENTE;3700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
1/3/2025;16;AV. CANTILO;ASCENDENTE;8300;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;1;0;0
2/3/2025;13;AU 25 DE MAYO;ASCENDENTE;3700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
3/3/2025;3;AU PERITO MORENO;DESCENDENTE;5200;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
4/3/2025;12;AU 25 DE MAYO;ASCENDENTE;2400;BUENO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
5/3/2025;8;AU PERITO MORENO;DESCENDENTE;4300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
5/3/2025;9;AU PERITO MORENO;ASCENDENTE;6000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
5/3/2025;12;PASEO DEL BAJO;DESCENDENTE;900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;1
5/3/2025;17;AU DELLEPIANE;ASCENDENTE;1000;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
6/3/2025;8;AU PERITO MORENO;ASCENDENTE;5500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
7/3/2025;6;TRANSICION RAMAL 3;RAMAL DE ENLACE;-;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
7/3/2025;7;AU 25 DE MAYO;DESCENDENTE;3500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1
7/3/2025;8;AU 25 DE MAYO;DESCENDENTE;3500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
7/3/2025;11;TRANSICION RAMAL 4;RAMAL DE INGRESO;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
10/3/2025;9;AU 25 DE MAYO;DESCENDENTE;8500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
10/3/2025;9;AV. LUGONES;DESCENDENTE;6000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
10/3/2025;20;AU 25 DE MAYO;DESCENDENTE;7100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
11/3/2025;12;AU DELLEPIANE;ASCENDENTE;1800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
12/3/2025;7;AU PERITO MORENO;ASCENDENTE;400;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
12/3/2025;11;AU FRONDIZI;ASCENDENTE;3000;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
12/3/2025;13;AU 25 DE MAYO;DESCENDENTE;0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
12/3/2025;14;AU 25 DE MAYO;ASCENDENTE;7000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
12/3/2025;17;AV. CANTILO;ASCENDENTE;8100;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
13/3/2025;8;AU 25 DE MAYO;DESCENDENTE;7000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
13/3/2025;8;AU 25 DE MAYO;ASCENDENTE;4500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
13/3/2025;9;AU 25 DE MAYO;ASCENDENTE;3400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
13/3/2025;11;AU 25 DE MAYO;ASCENDENTE;9200;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;2;0;0
13/3/2025;18;AU PERITO MORENO;DESCENDENTE;700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
13/3/2025;20;AU 25 DE MAYO;ASCENDENTE;2800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
13/3/2025;21;AV. LUGONES;DESCENDENTE;10300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
14/3/2025;1;AU 25 DE MAYO;ASCENDENTE;3500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
14/3/2025;2;AU CAMPORA;ASCENDENTE;1100;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
15/3/2025;2;AU ILLIA;DESCENDENTE;4000;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
16/3/2025;10;AU 25 DE MAYO;DESCENDENTE;3400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
17/3/2025;7;AU 25 DE MAYO;ASCENDENTE;1700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
17/3/2025;9;AU 25 DE MAYO;ASCENDENTE;2700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
17/3/2025;21;AU 25 DE MAYO;DESCENDENTE;2200;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0
18/3/2025;9;AU 25 DE MAYO;DESCENDENTE;7000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
18/3/2025;9;AU ILLIA;ASCENDENTE;3700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
18/3/2025;14;AU FRONDIZI;ASCENDENTE;1000;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
20/3/2025;8;AV. LUGONES;DESCENDENTE;6900;BUENO;DESLIZANTE;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
20/3/2025;10;AV. LUGONES;DESCENDENTE;6000;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;1;0
20/3/2025;11;AU 25 DE MAYO;DESCENDENTE;3400;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
21/3/2025;7;AU PERITO MORENO;DESCENDENTE;5800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
21/3/2025;7;AU 25 DE MAYO;ASCENDENTE;9100;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
21/3/2025;8;AV. LUGONES;DESCENDENTE;9000;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
21/3/2025;8;AU PERITO MORENO;ASCENDENTE;6100;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
21/3/2025;12;AU DELLEPIANE;ASCENDENTE;3900;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
21/3/2025;16;AU DELLEPIANE;ASCENDENTE;3700;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
21/3/2025;16;AU DELLEPIANE;ASCENDENTE;1800;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
21/3/2025;18;AU DELLEPIANE;DESCENDENTE;3200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
22/3/2025;8;AU ILLIA;DESCENDENTE;3000;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
23/3/2025;5;AU PERITO MORENO;ASCENDENTE;5300;LLUVIOSO;MOJADA/HUMEDA;0;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
25/3/2025;11;AU DELLEPIANE;DESCENDENTE;3400;BUENO;SECA;1;0;OBSTACULO NO FIJO;0;1;0;1
25/3/2025;14;PASEO DEL BAJO;ASCENDENTE;500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;3
25/3/2025;16;AU DELLEPIANE;DESCENDENTE;3300;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
26/3/2025;18;AU PERITO MORENO;DESCENDENTE;200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;2;0;0
